"cell_type","gene_identifier","","","","","","","","","","","","","","","","","","","","","","","",""
"Basal resting","KRT15","","","","","","","","","","","","","","","","","","","","","","","",""
"Basal resting","KRT17","","","","","","","","","","","","","","","","","","","","","","","",""
"Basal resting","KRT5","","","","","","","","","","","","","","","","","","","","","","","",""
"Basal resting","DST","","","","","","","","","","","","","","","","","","","","","","","",""
"Basal resting","DLK2","","","","","","","","","","","","","","","","","","","","","","","",""
"Basal resting","IL33","","","","","","","","","","","","","","","","","","","","","","","",""
"Basal resting","FHL2","","","","","","","","","","","","","","","","","","","","","","","",""
"Basal resting","PTPRZ1","","","","","","","","","","","","","","","","","","","","","","","",""
"Suprabasal","KRT5","","","","","","","","","","","","","","","","","","","","","","","",""
"Suprabasal","KRT17","","","","","","","","","","","","","","","","","","","","","","","",""
"Suprabasal","SERPINB4","","","","","","","","","","","","","","","","","","","","","","","",""
"Suprabasal","SERPINB13","","","","","","","","","","","","","","","","","","","","","","","",""
"Suprabasal","KRT6A","","","","","","","","","","","","","","","","","","","","","","","",""
"Suprabasal","CLCA2","","","","","","","","","","","","","","","","","","","","","","","",""
"Suprabasal","LY6D","","","","","","","","","","","","","","","","","","","","","","","",""
"Suprabasal","PPP1R14B","","","","","","","","","","","","","","","","","","","","","","","",""
"Suprabasal","AKR1C3","","","","","","","","","","","","","","","","","","","","","","","",""
"Suprabasal","IGFBP3","","","","","","","","","","","","","","","","","","","","","","","",""
"Deuterosomal","CCNO","","","","","","","","","","","","","","","","","","","","","","","",""
"Deuterosomal","CDC20B","","","","","","","","","","","","","","","","","","","","","","","",""
"Deuterosomal","ZMYND10","","","","","","","","","","","","","","","","","","","","","","","",""
"Deuterosomal","KIF9","","","","","","","","","","","","","","","","","","","","","","","",""
"Deuterosomal","FOXJ1","","","","","","","","","","","","","","","","","","","","","","","",""
"Deuterosomal","HES6","","","","","","","","","","","","","","","","","","","","","","","",""
"Deuterosomal","CEP78","","","","","","","","","","","","","","","","","","","","","","","",""
"Deuterosomal","TMEM106C","","","","","","","","","","","","","","","","","","","","","","","",""
"Deuterosomal","CCDC67","","","","","","","","","","","","","","","","","","","","","","","",""
"Deuterosomal","KDELC2","","","","","","","","","","","","","","","","","","","","","","","",""
"Multiciliated (nasal)","C20orf85","","","","","","","","","","","","","","","","","","","","","","","",""
"Multiciliated (nasal)","C9orf24","","","","","","","","","","","","","","","","","","","","","","","",""
"Multiciliated (nasal)","RSPH1","","","","","","","","","","","","","","","","","","","","","","","",""
"Multiciliated (nasal)","PIFO","","","","","","","","","","","","","","","","","","","","","","","",""
"Multiciliated (nasal)","RP11-356K23.1","","","","","","","","","","","","","","","","","","","","","","","",""
"Multiciliated (nasal)","CCDC80","","","","","","","","","","","","","","","","","","","","","","","",""
"Multiciliated (nasal)","PROM1","","","","","","","","","","","","","","","","","","","","","","","",""
"Multiciliated (nasal)","OMG","","","","","","","","","","","","","","","","","","","","","","","",""
"Multiciliated (nasal)","DIAPH2","","","","","","","","","","","","","","","","","","","","","","","",""
"Multiciliated (nasal)","C15orf48","","","","","","","","","","","","","","","","","","","","","","","",""
"Multiciliated (non-nasal)","C20orf85","","","","","","","","","","","","","","","","","","","","","","","",""
"Multiciliated (non-nasal)","CAPS","","","","","","","","","","","","","","","","","","","","","","","",""
"Multiciliated (non-nasal)","C9orf24","","","","","","","","","","","","","","","","","","","","","","","",""
"Multiciliated (non-nasal)","RSPH1","","","","","","","","","","","","","","","","","","","","","","","",""
"Multiciliated (non-nasal)","FAM183A","","","","","","","","","","","","","","","","","","","","","","","",""
"Multiciliated (non-nasal)","MS4A8","","","","","","","","","","","","","","","","","","","","","","","",""
"Multiciliated (non-nasal)","TFF3","","","","","","","","","","","","","","","","","","","","","","","",""
"Multiciliated (non-nasal)","IGFBP5","","","","","","","","","","","","","","","","","","","","","","","",""
"Multiciliated (non-nasal)","CFAP43","","","","","","","","","","","","","","","","","","","","","","","",""
"Multiciliated (non-nasal)","C2orf40","","","","","","","","","","","","","","","","","","","","","","","",""
"Club (non-nasal)","TSPAN8","","","","","","","","","","","","","","","","","","","","","","","",""
"Club (non-nasal)","CYP2F1","","","","","","","","","","","","","","","","","","","","","","","",""
"Club (non-nasal)","TFF3","","","","","","","","","","","","","","","","","","","","","","","",""
"Club (non-nasal)","TGM2","","","","","","","","","","","","","","","","","","","","","","","",""
"Club (non-nasal)","MUC5B","","","","","","","","","","","","","","","","","","","","","","","",""
"Club (non-nasal)","CXCL6","","","","","","","","","","","","","","","","","","","","","","","",""
"Club (non-nasal)","C16orf89","","","","","","","","","","","","","","","","","","","","","","","",""
"Club (non-nasal)","HES4","","","","","","","","","","","","","","","","","","","","","","","",""
"Club (non-nasal)","RHOV","","","","","","","","","","","","","","","","","","","","","","","",""
"Club (non-nasal)","KIAA1324","","","","","","","","","","","","","","","","","","","","","","","",""
"Club (nasal)","ASRGL1","","","","","","","","","","","","","","","","","","","","","","","",""
"Club (nasal)","LYPD2","","","","","","","","","","","","","","","","","","","","","","","",""
"Club (nasal)","UGT2A1","","","","","","","","","","","","","","","","","","","","","","","",""
"Club (nasal)","TFCP2L1","","","","","","","","","","","","","","","","","","","","","","","",""
"Club (nasal)","LY6D","","","","","","","","","","","","","","","","","","","","","","","",""
"Club (nasal)","TPD52L1","","","","","","","","","","","","","","","","","","","","","","","",""
"Club (nasal)","SORD","","","","","","","","","","","","","","","","","","","","","","","",""
"Club (nasal)","PI3","","","","","","","","","","","","","","","","","","","","","","","",""
"Goblet (nasal)","LYPD2","","","","","","","","","","","","","","","","","","","","","","","",""
"Goblet (nasal)","PI3","","","","","","","","","","","","","","","","","","","","","","","",""
"Goblet (nasal)","CEACAM5","","","","","","","","","","","","","","","","","","","","","","","",""
"Goblet (nasal)","LYNX1","","","","","","","","","","","","","","","","","","","","","","","",""
"Goblet (nasal)","MUC5AC","","","","","","","","","","","","","","","","","","","","","","","",""
"Goblet (nasal)","MUC16","","","","","","","","","","","","","","","","","","","","","","","",""
"Goblet (nasal)","C15orf48","","","","","","","","","","","","","","","","","","","","","","","",""
"Goblet (nasal)","BPIFA1","","","","","","","","","","","","","","","","","","","","","","","",""
"Goblet (nasal)","CCDC80","","","","","","","","","","","","","","","","","","","","","","","",""
"Goblet (nasal)","DHRS9","","","","","","","","","","","","","","","","","","","","","","","",""
"Goblet (bronchial)","MUC5B","","","","","","","","","","","","","","","","","","","","","","","",""
"Goblet (bronchial)","RARRES1","","","","","","","","","","","","","","","","","","","","","","","",""
"Goblet (bronchial)","SAA1","","","","","","","","","","","","","","","","","","","","","","","",""
"Goblet (bronchial)","ANKRD36C","","","","","","","","","","","","","","","","","","","","","","","",""
"Goblet (bronchial)","SAA2","","","","","","","","","","","","","","","","","","","","","","","",""
"Goblet (bronchial)","LYZ","","","","","","","","","","","","","","","","","","","","","","","",""
"Goblet (bronchial)","PLCG2","","","","","","","","","","","","","","","","","","","","","","","",""
"Goblet (bronchial)","FCGBP","","","","","","","","","","","","","","","","","","","","","","","",""
"Goblet (bronchial)","RIMS1","","","","","","","","","","","","","","","","","","","","","","","",""
"Goblet (bronchial)","MUC5AC","","","","","","","","","","","","","","","","","","","","","","","",""
"Goblet (subsegmental)","TSPAN8","","","","","","","","","","","","","","","","","","","","","","","",""
"Goblet (subsegmental)","MUC5B","","","","","","","","","","","","","","","","","","","","","","","",""
"Goblet (subsegmental)","C16orf89","","","","","","","","","","","","","","","","","","","","","","","",""
"Goblet (subsegmental)","MTRNR2L10","","","","","","","","","","","","","","","","","","","","","","","",""
