# Neutrophil extracellular traps from https://jitc.bmj.com/content/10/6/e004210,
signature,gene_symbol
sig_neutrophil_associated,ALPL
sig_neutrophil_associated,BST1
sig_neutrophil_associated,CD93
sig_neutrophil_associated,CEACAM3
sig_neutrophil_associated,CREB5
sig_neutrophil_associated,CRISPLD2
sig_neutrophil_associated,CSF3R
sig_neutrophil_associated,CYP4F3
sig_neutrophil_associated,DYSF
sig_neutrophil_associated,FCAR
sig_neutrophil_associated,FCGR3B
sig_neutrophil_associated,CPPED1
sig_neutrophil_associated,FPR1
sig_neutrophil_associated,FPR2
sig_neutrophil_associated,G0S2
sig_neutrophil_associated,HIST1H2BC
sig_neutrophil_associated,HPSE
sig_neutrophil_associated,CXCR1
sig_neutrophil_associated,CXCR2
sig_neutrophil_associated,KCNJ15
sig_neutrophil_associated,LILRB2
sig_neutrophil_associated,MGAM
sig_neutrophil_associated,MME
sig_neutrophil_associated,PDE4B
sig_neutrophil_associated,S100A12
sig_neutrophil_associated,SIGLEC5
sig_neutrophil_associated,SLC22A4
sig_neutrophil_associated,SLC25A37
sig_neutrophil_associated,TECPR2
sig_neutrophil_associated,TNFRSF10C
sig_neutrophil_associated,VNN3
sig_net_related_literature,AKT1
sig_net_related_literature,AKT2
sig_net_related_literature,ATG7
sig_net_related_literature,CLEC6A
sig_net_related_literature,CSF3
sig_net_related_literature,CTSG
sig_net_related_literature,CYBB
sig_net_related_literature,DNASE1
sig_net_related_literature,ELANE
sig_net_related_literature,ENTPD4
sig_net_related_literature,F3
sig_net_related_literature,HMGB1
sig_net_related_literature,IL17A
sig_net_related_literature,IL1B
sig_net_related_literature,IL6
sig_net_related_literature,IL8
sig_net_related_literature,IRAK4
sig_net_related_literature,ITGAM
sig_net_related_literature,ITGB2
sig_net_related_literature,KCNN3
sig_net_related_literature,MAPK1
sig_net_related_literature,MAPK3
sig_net_related_literature,MMP9
sig_net_related_literature,MPO
sig_net_related_literature,MTOR
sig_net_related_literature,PADI4
sig_net_related_literature,PTAFR
sig_net_related_literature,PIK3CA
sig_net_related_literature,RIPK1
sig_net_related_literature,RIPK3
sig_net_related_literature,SELP
sig_net_related_literature,SELPLG
sig_net_related_literature,SIGLEC14
sig_net_related_literature,TLR2
sig_net_related_literature,TLR4
sig_net_related_literature,TLR7
sig_net_related_literature,TLR8
sig_net_related_literature,TNF
sig_net_19genes,IL8
sig_net_19genes,BST1
sig_net_19genes,FPR2
sig_net_19genes,CYP4F3
sig_net_19genes,CREB5
sig_net_19genes,G0S2
sig_net_19genes,F3
sig_net_19genes,VNN3
sig_net_19genes,S100A12
sig_net_19genes,MPO
sig_net_19genes,HPSE
sig_net_19genes,IL17A
sig_net_19genes,ENTPD4
sig_net_19genes,MME
sig_net_19genes,SLC22A4
sig_net_19genes,CEACAM3
sig_net_19genes,TNFRSF10C
sig_net_19genes,CLEC6A
sig_net_19genes,SELP
