cluster,gene,logFC
CD8 T Terminally Exhausted,KRT86,2.41366211847054
CD8 T Terminally Exhausted,ACP5,1.84186550026256
CD8 T Terminally Exhausted,CXCR6,1.65964418534576
CD8 T Terminally Exhausted,HMOX1,1.64913373341382
CD8 T Terminally Exhausted,LAYN,1.55590443304678
CD8 T Terminally Exhausted,HAVCR2,1.40506541107792
CD8 T Terminally Exhausted,PRF1,1.4028620756241
CD8 T Terminally Exhausted,SLC2A8,1.37364577985765
CD8 T Terminally Exhausted,CHST12,1.24724925620994
CD8 T Terminally Exhausted,GALNT2,1.2263636551767
CD8 T Terminally Exhausted,ENTPD1,1.09207581058085
CD8 T Terminally Exhausted,LAG3,1.06010002471461
CD8 T Terminally Exhausted,GZMB,1.05551708142854
CD8 T Terminally Exhausted,PDCD1,1.05061390121187
CD8 T Terminally Exhausted,CARD16,0.969726451543704
CD8 T Terminally Exhausted,CTLA4,0.943809109091187
CD8 T Terminally Exhausted,SLA2,0.884998979389214
CD8 T Terminally Exhausted,CD27,0.801353601489428
CD8 T Terminally Exhausted,RALA,0.76142181318444
CD8 T Terminally Exhausted,VCAM1,0.759554508444922
CD8 T Terminally Exhausted,SYNGR2,0.755556793469855
CD8 T Terminally Exhausted,NKG7,0.750613869162305
CD8 T Terminally Exhausted,LSP1,0.715904720595231
CD8 T Terminally Exhausted,CCL5,0.712148545860246
CD8 T Terminally Exhausted,LMNA,-0.727604716656955
CD8 T Terminally Exhausted,ANXA1,-0.871862204306731
CD8 T Terminally Exhausted,GPR183,-1.81705696924706
CD8 T Terminally Exhausted,CCR7,-2.02795339162682
CD8 T Terminally Exhausted,IL7R,-2.05881627575315
CD8 T Terminally Exhausted,TCF7,-2.32305833137122
CD8 T Terminally Exhausted,MTSS1,1.07905432540694
CD8 T Terminally Exhausted,PTMS,0.706049616667268
CD8 T Terminally Exhausted,BATF,0.707351669125533
CD8 T Terminally Exhausted,MCUB,-1.03582622563057
CD8 T Terminally Exhausted,MBP,-1.00516112539038
CD8 T Terminally Exhausted,FOS,-1.26625435779842
CD8 T Terminally Exhausted,RAB27A,0.739748286007297
CD8 T Terminally Exhausted,CD63,0.733113869941811
CD8 T Terminally Exhausted,HOPX,1.13688165190377
CD8 T Terminally Exhausted,TNFRSF18,0.879747020102702
CD8 T Terminally Exhausted,GADD45B,-1.17074660717941
CD8 T Terminally Exhausted,PLPP1,1.06967199275381
CD8 T Terminally Exhausted,MCM5,0.853156453521021
CD8 T Terminally Exhausted,HMGA1,-0.935381078322009
CD8 T Terminally Exhausted,TNFSF10,0.864146198926209
CD8 T Terminally Exhausted,XCL1,-1.27697105949256
CD8 T Terminally Exhausted,PLK3,-0.809412865049898
CD8 T Terminally Exhausted,TAGAP,-0.732106183597437
CD8 T Terminally Exhausted,AHI1,0.753226567983639
CD8 T Terminally Exhausted,RARA,-0.880920196106002
CD8 T Terminally Exhausted,FOSB,-0.931533969225081
CD8 T Terminally Exhausted,CTSB,0.709406982533616
CD8 T Terminally Exhausted,XCL2,-1.23906786130626
CD8 T Terminally Exhausted,PLSCR1,0.782067772878477
CD8 T Terminally Exhausted,TUBB2A,-0.716931466989665
CD8 T Terminally Exhausted,CDC42EP3,-0.72217544010195
CD8 T Terminally Exhausted,CARS,0.850409711138628
CD8 T Terminally Exhausted,DUSP1,-0.712521306215584
CD8 T Terminally Exhausted,DNAJB1,-0.917260335593206
CD8 T Terminally Exhausted,HSPA1B,-1.22503294341476
CD8 T Effector Memory 1,GYG1,0.817221315999364
CD8 T Effector Memory 1,GPR183,0.700182232121544
CD8 T Effector Memory 1,CXCL13,-1.734487320223
CD8 T Effector Memory 1,HSPB1,-1.20960490158612
CD8 T Effector Memory 1,GLUL,0.875381660189263
CD8 T Effector Memory 1,HMOX1,-1.75575809584771
CD8 T Effector Memory 1,HSP90AA1,-0.736269669212387
CD8 T Effector Memory 1,PERP,0.809685148858514
CD8 T Effector Memory 1,GEM,-1.44828520927838
CD8 T Effector Memory 1,VCAM1,-1.34584932401854
CD8 T Effector Memory 1,DNAJA1,-0.802052529032704
CD8 T Effector Memory 1,CD27,-0.869287260005632
CD8 T Effector Memory 1,HSPA1A,-1.1906397473464
CD8 T Effector Memory 1,ID3,-0.957854357518429
CD8 T Effector Memory 1,NR4A2,-1.02390940602623
CD8 T Effector Memory 1,HSPA1B,-2.03197456154644
CD8 T Effector Memory 1,HSPD1,-0.714001598759675
CD8 T Effector Memory 1,JUNB,-0.854128605940784
CD8 T Effector Memory 1,LAG3,-0.745652029797705
CD8 T Effector Memory 1,HSPH1,-0.721702632216335
CD8 T Effector Memory 1,RGS2,-0.900194745416796
CD8 T Effector Memory 1,RGS1,-0.848416499540019
CD8 T Effector Memory 1,GATA3,-0.790025288302354
CD8 T Effector Memory 1,PHLDA1,-0.730273409157251
CD8 T Effector Memory 1,FOSB,-1.02241205270287
CD8 T Effector Memory 1,DUSP1,-0.977568237733375
CD8 T Effector Memory 1,NFKBIA,-0.740723170118946
CD8 T Effector Memory 1,DNAJB1,-1.34385686016115
CD8 T Effector Memory 1,PDCD1,-0.762572677171873
CD8 T Effector Memory 1,RHOB,-0.821482639607861
CD8 T Effector Memory 1,ICOS,-0.706979539070785
CD8 T Effector Memory 1,BHLHE40,-0.804345087729431
CD8 T Effector Memory 1,HLA-DRB1,-0.693377826760718
CD8 T Effector Memory 1,ZFAND2A,-0.890822333384052
CD8 T Effector Memory 1,CCL4,-0.930144146647086
CD8 T Effector Memory 1,FOS,-0.984263853921758
CD8 T Effector Memory 1,TUBB,-0.811373111454078
CD8 T Effector Memory 2,S1PR1,1.30658994149718
CD8 T Effector Memory 2,GPR183,1.06405522718794
CD8 T Effector Memory 2,CCR7,0.920802858545007
CD8 T Effector Memory 2,ANXA1,0.889853865281436
CD8 T Effector Memory 2,TCF7,0.861874130617612
CD8 T Effector Memory 2,IL7R,0.823460286886093
CD8 T Effector Memory 2,MBP,0.790071156047198
CD8 T Effector Memory 2,VIM,0.778031218808326
CD8 T Effector Memory 2,NKG7,-0.846651033990049
CD8 T Effector Memory 2,CTSW,-0.870257727589723
CD8 T Effector Memory 2,DUSP4,-0.998224190792618
CD8 T Effector Memory 2,HSPH1,-1.00401396585311
CD8 T Effector Memory 2,HSPE1,-1.01373991433219
CD8 T Effector Memory 2,LSP1,-1.01881205630859
