,gene_symbol,alias
0,TSPAN6,TSPAN6
1,TNMD,TNMD
2,DPM1,DPM1
3,SCYL3,SCYL3
4,C1orf112,C1orf112
5,FGR,FGR
6,CFH,CFH
7,FUCA2,FUCA2
8,GCLC,GCLC
9,NFYA,NFYA
10,STPG1,STPG1
11,NIPAL3,NIPAL3
12,LAS1L,LAS1L
13,ENPP4,ENPP4
14,SEMA3F,SEMA3F
15,CFTR,CFTR
16,ANKIB1,ANKIB1
17,CYP51A1,CYP51A1
18,KRIT1,KRIT1
19,RAD52,RAD52
20,MYH16,MYH16
21,BAD,BAD
22,LAP3,LAP3
23,CD99,CD99
24,HS3ST1,HS3ST1
25,AOC1,AOC1
26,WNT16,WNT16
27,HECW1,HECW1
28,MAD1L1,MAD1L1
29,LASP1,LASP1
30,SNX11,SNX11
31,TMEM176A,TMEM176A
32,M6PR,M6PR
33,KLHL13,KLHL13
34,CYP26B1,CYP26B1
35,ICA1,ICA1
36,DBNDD1,DBNDD1
37,ALS2,ALS2
38,CASP10,CASP10
39,CFLAR,CFLAR
40,TFPI,TFPI
41,NDUFAF7,NDUFAF7
42,RBM5,RBM5
43,MTMR7,MTMR7
44,SLC7A2,SLC7A2
45,ARF5,ARF5
46,SARM1,SARM1
47,POLDIP2,POLDIP2
48,PLXND1,PLXND1
49,AK2,AK2
50,CD38,CD38
51,FKBP4,FKBP4
52,KDM1A,KDM1A
53,RBM6,RBM6
54,CAMKK1,CAMKK1
55,RECQL,RECQL
56,VPS50,VPS50
57,ARHGAP33,ARHGAP33
58,NDUFAB1,NDUFAB1
59,PDK4,PDK4
60,SLC22A16,SLC22A16
61,ZMYND10,ZMYND10
62,ABCB5,ABCB5
63,SLC25A13,SLC25A13
64,ST7,ST7
65,CDC27,CDC27
66,SLC4A1,SLC4A1
67,CALCR,CALCR
68,HCCS,HCCS
69,DVL2,DVL2
70,PRSS22,PRSS22
71,UPF1,UPF1
72,SKAP2,SKAP2
73,SLC25A5,SLC25A5
74,MCUB,MCUB
75,POLR2J,POLR2J
76,DHX33,DHX33
77,MEOX1,MEOX1
78,THSD7A,THSD7A
79,LIG3,LIG3
80,RPAP3,RPAP3
81,ACSM3,ACSM3
82,REXO5,REXO5
83,CIAPIN1,CIAPIN1
84,SPPL2B,SPPL2B
85,FAM214B,FAM214B
86,COPZ2,COPZ2
87,PRKAR2B,PRKAR2B
88,MSL3,MSL3
89,CREBBP,CREBBP
90,TSPOAP1,TSPOAP1
91,MPO,MPO
92,PON1,PON1
93,GCFC2,GCFC2
94,WDR54,WDR54
95,CROT,CROT
96,ABCB4,ABCB4
97,KMT2E,KMT2E
98,RHBDD2,RHBDD2
99,IBTK,IBTK
100,ZNF195,ZNF195
101,MYCBP2,MYCBP2
102,FBXL3,FBXL3
103,ITGAL,ITGAL
104,PDK2,PDK2
105,ITGA3,ITGA3
106,ZFX,ZFX
107,LAMP2,LAMP2
108,ITGA2B,ITGA2B
109,ASB4,ASB4
110,GDE1,GDE1
