id,input_adata,min_counts,max_counts,min_genes,max_genes,max_pct_mito,batch_key,run_solo
Adams_Kaminski_2020_COPD,data/10_public_datasets/Adams_Kaminski_2020_COPD/h5ad_raw/adams_kaminski_2020_copd.h5ad,1000,35000,500,10000,20,sample,true
Chen_Zhang_2020_NSCLC,data/10_public_datasets/Chen_Zhang_2020_NSCLC/h5ad_raw/Chen_Zhang_2020_NSCLC.h5ad,600,30000,250,10000,20,sample,true
Goveia_Carmeliet_2020_NSCLC,data/10_public_datasets/Goveia_Carmeliet_2020_NSCLC/h5ad_raw/goveia_carmeliet_2020_nsclc.h5ad,600,30000,250,10000,20,sample,true
Guo_Zhang_2018_NSCLC,data/10_public_datasets/Guo_Zhang_2018_NSCLC/h5ad_raw/guo_zhang_2018_nsclc.h5ad,20000,3000000,1000,20000,20,sample,false
Habermann_Kropski_2020_pulmonary-fibrosis,data/10_public_datasets/Habermann_Kropski_2020_pulmonary-fibrosis/h5ad_raw/Habermann_Kropski_2020_pulmonary-fibrosis.h5ad,600,30000,200,10000,20,sample,true
Kim_Lee_2020_LUAD,data/10_public_datasets/Kim_Lee_2020_LUAD/h5ad_raw/Kim_Lee_2020_LUAD.h5ad,1000,35000,300,10000,20,sample,true
He_Fan_2021_LUAD,data/10_public_datasets/He_Fan_2021_LUAD/h5ad_raw/He_Fan_2021_LUAD.h5ad,600,30000,250,10000,20,sample,true
Lambrechts_2018_LUAD_6149v1,data/10_public_datasets/Lambrechts_2018_LUAD/E-MTAB-6149-v1/h5ad_raw/lambrechts_2018_luad_6149v1.h5ad,600,30000,200,10000,15,sample,true
Lambrechts_2018_LUAD_6149v2,data/10_public_datasets/Lambrechts_2018_LUAD/E-MTAB-6149-v2/h5ad_raw/lambrechts_2018_luad_6149v2.h5ad,600,30000,250,10000,20,sample,true
Lambrechts_2018_LUAD_6653,data/10_public_datasets/Lambrechts_2018_LUAD/E-MTAB-6653/h5ad_raw/lambrechts_2018_luad_6653.h5ad,1200,40000,250,10000,20,sample,true
Laughney_Massague_2020_NSCLC,data/10_public_datasets/Laughney_Massague_2020_NSCLC/h5ad_raw/laughney_massague_2020_nsclc.h5ad,1800,40000,500,10000,20,sample,true
Madissoon_Meyer_2020_pulmonary-fibrosis,data/10_public_datasets/Madissoon_Meyer_2020_pulmonary-fibrosis/h5ad_processed/madissoon19_lung.processed.h5ad,600,30000,300,10000,20,sample,true
Maier_Merad_2020_NSCLC,data/10_public_datasets/Maier_Merad_2020_NSCLC/h5ad_raw/maier_merad_2020_nsclc.h5ad,1000,30000,400,10000,15,sample,false
Maynard_Bivona_2020_NSCLC,data/10_public_datasets/Maynard_Bivona_2020_NSCLC/h5ad_raw/maynard2020.h5ad,20000,20000000,600,20000,30,sample,false
Mayr_Schiller_2020_pulmonary-fibrosis,data/10_public_datasets/Mayr_Schiller_2020_pulmonary-fibrosis/h5ad/munich_cohort_human_dataset_counts.h5ad,600,30000,250,10000,10,sample,true
Reyfman_Misharin_2018_pulmonary-fibrosis,data/10_public_datasets/Reyfman_Misharin_2018_pulmonary-fibrosis/h5ad_raw/Reyfman_Misharin_2018_pulmonary-fibrosis.h5ad,1000,30000,250,10000,20,sample,true
Travaglini_Krasnow_2020_Lung_10x,data/10_public_datasets/Travaglini_Krasnow_2020_Lung/h5ad_raw/Travaglini_Krasnow_2020_Lung_10x.h5ad,1000,30000,500,10000,0,sample,true
Travaglini_Krasnow_2020_Lung_SS2,data/10_public_datasets/Travaglini_Krasnow_2020_Lung/h5ad_raw/Travaglini_Krasnow_2020_Lung_SS2.h5ad,20000,6000000,600,20000,30,sample,false
UKIM-V,data/11_own_datasets/batch1_3patients/h5ad_raw/batch1_3patients.h5ad,2000,100000,200,8000,30,sample,true
Vieira_Teichmann_2019_asthma,data/10_public_datasets/Vieira_Teichmann_2019_asthma/dropseq/h5ad_raw/Vieira_Teichmann_2019_asthma_dropseq.h5ad,600,30000,200,10000,20,sample,true
Wu_Zhou_2021_NSCLC,data/10_public_datasets/Wu_Zhou_2021_NSCLC/h5ad_raw/wu_zhou_2021_nsclc.h5ad,600,30000,300,10000,30,sample,true
Zilionis_Klein_2019_NSCLC,data/10_public_datasets/Zilionis_Klein_2019_NSCLC/h5ad_raw/zilionis_klein_2019_nsclc.h5ad,600,30000,200,10000,20,sample,true
