Run,cell_type
SRR10794350,Monocyte conventional
SRR10785808,Macrophage
SRR10783827,Endothelial cell
SRR10786816,Mast cell
SRR10779280,Macrophage
SRR10787018,B cell
SRR10790448,Macrophage
SRR10798194,T cell CD8
SRR10789406,T cell CD4
SRR10777235,Endothelial cell
SRR10782305,Alveolar cell type 2
SRR10796949,T cell CD4
SRR10792445,T cell CD8
SRR10792031,Basal
SRR10790102,Smooth muscle cell
SRR10797685,B cell
SRR10798398,Macrophage
SRR10793720,NK cell
SRR10780012,Macrophage
SRR10795265,NK cell
SRR10778290,other C17
SRR10786965,T cell CD4
SRR10797967,Endothelial cell
SRR10787311,Basal
SRR10781228,T cell CD4
SRR10788668,NK cell
SRR10798085,Monocyte non-conventional
SRR10791699,Monocyte non-conventional
SRR10788680,Mast cell
SRR10785820,T cell CD8
SRR10780600,T cell CD4
SRR10788332,Macrophage
SRR10788488,Endothelial cell
SRR10793674,Basal
SRR10798069,Alveolar cell type 2
SRR10791181,Monocyte non-conventional
SRR10781353,T cell CD4
SRR10788886,T cell CD4
SRR10785604,cDC2
SRR10785185,Epithelial cell other C5
SRR10785400,B cell
SRR10790100,Endothelial cell
SRR10787960,T cell CD4
SRR10784710,NK cell
SRR10798488,Macrophage
SRR10786494,T cell CD8
SRR10783753,Macrophage
SRR10779885,Macrophage
SRR10790829,Fibroblast adventitial
SRR10781430,T cell CD8
SRR10789674,Fibroblast adventitial
SRR10783234,Monocyte non-conventional
SRR10781173,Club
SRR10788351,cDC2
SRR10786282,Basal
SRR10787258,T cell CD8
SRR10796363,Epithelial cell other C4
SRR10779216,Alveolar cell type 2
SRR10780709,Macrophage
SRR10782897,Mast cell
SRR10788145,DC mature
SRR10781858,other C17
SRR10777838,Epithelial cell other C1
SRR10788463,T cell CD4
SRR10796016,Macrophage
SRR10787722,Macrophage
SRR10782941,T cell CD4
SRR10788842,Mast cell
SRR10788543,Plasma cell
SRR10778417,T cell CD4
SRR10785138,B cell
SRR10781616,Epithelial cell other C3
SRR10788593,Pericyte
SRR10778964,T cell CD4
SRR10796121,other C17
SRR10789378,Macrophage
SRR10793431,Alveolar cell type 1
SRR10790921,Epithelial cell other C5
SRR10797186,Macrophage
SRR10777991,Epithelial cell other C1
SRR10783708,Macrophage
SRR10781656,Epithelial cell other C1
SRR10778439,T cell CD4
SRR10780130,T cell regulatory
SRR10798430,Monocyte conventional
SRR10779222,Plasma cell
SRR10789999,Epithelial cell other C3
SRR10784793,pDC
SRR10782933,Fibroblast adventitial
SRR10783582,T cell CD4
SRR10788830,cDC2
SRR10781240,NK cell
SRR10785998,Club
SRR10793766,Basal
SRR10794776,Monocyte conventional
SRR10797913,Pericyte
SRR10785868,Epithelial cell other C1
SRR10795669,T cell CD8
SRR10792277,T cell CD8
SRR10794477,Epithelial cell other C4
SRR10787002,Fibroblast adventitial
SRR10778162,Epithelial cell other C4
SRR10780655,Mast cell
SRR10792600,Macrophage
SRR10786624,Epithelial cell other C1
SRR10789856,Fibroblast adventitial
SRR10786968,T cell regulatory
SRR10779541,Epithelial cell other C2
SRR10784473,Macrophage
SRR10793082,T cell CD4
SRR10793222,T cell CD8
SRR10782621,Monocyte non-conventional
SRR10781708,Monocyte non-conventional
SRR10780233,Fibroblast adventitial
SRR10787219,T cell CD8
SRR10793930,Ciliated
SRR10782885,Mast cell
SRR10783978,Monocyte non-conventional
SRR10789145,Mast cell
SRR10787247,Epithelial cell other C1
SRR10785676,other C21
SRR10786042,Basal
SRR10786512,Epithelial cell other C1
SRR10781263,Epithelial cell other C4
SRR10783354,other C19
SRR10786249,Monocyte non-conventional
SRR10782385,Macrophage
SRR10788925,Macrophage
SRR10778121,Macrophage
SRR10789754,Fibroblast adventitial
SRR10785104,Monocyte non-conventional
SRR10785630,Alveolar cell type 2
SRR10788345,Plasma cell
SRR10796342,Smooth muscle cell
SRR10783407,T cell CD4
SRR10792314,Fibroblast alveolar
SRR10796086,Macrophage
SRR10797659,Macrophage
SRR10781049,Endothelial cell
SRR10787452,T cell CD4
SRR10777811,Fibroblast adventitial
SRR10797460,T cell regulatory
SRR10782424,Monocyte non-conventional
SRR10796691,Epithelial cell other C1
SRR10797611,Basal
SRR10783221,Epithelial cell other C1
SRR10798270,Pericyte
SRR10785478,Endothelial cell
SRR10790507,Macrophage
SRR10794948,Fibroblast adventitial
SRR10797601,Mast cell
SRR10782316,Monocyte non-conventional
SRR10791328,Macrophage
SRR10781026,Macrophage
SRR10785817,Epithelial cell other C1
SRR10780553,Epithelial cell other C1
SRR10777504,Fibroblast adventitial
SRR10792746,Ciliated
SRR10777639,Club
SRR10795534,Macrophage
SRR10777407,Plasma cell
SRR10789942,Fibroblast adventitial
SRR10790127,Plasma cell
SRR10789978,Epithelial cell other C5
SRR10785595,Epithelial cell other C5
SRR10781460,T cell CD4
SRR10796198,Alveolar cell type 2
SRR10783197,Fibroblast adventitial
SRR10798143,Endothelial cell
SRR10789694,T cell CD4
SRR10797528,Plasma cell
SRR10782869,Epithelial cell other C4
SRR10777660,T cell CD8
SRR10791333,Mast cell
SRR10783608,Basal
SRR10782306,Fibroblast alveolar
SRR10777998,Macrophage
SRR10797030,Endothelial cell
SRR10778781,T cell CD8
SRR10781577,Macrophage
SRR10786413,T cell CD4
SRR10792653,T cell CD8
SRR10794392,cDC1
SRR10780946,Macrophage
SRR10779692,T cell CD4
SRR10793295,Macrophage
SRR10795233,Mast cell
SRR10782585,Epithelial cell other C1
SRR10794918,Monocyte non-conventional
SRR10792084,T cell CD8
SRR10778160,Fibroblast adventitial
SRR10780917,Club
SRR10783557,Epithelial cell other C1
SRR10786529,T cell CD4
SRR10791433,Macrophage
SRR10797935,cDC2
SRR10787505,Monocyte conventional
SRR10779870,Pericyte
SRR10789823,other C17
SRR10781133,Fibroblast adventitial
SRR10782798,T cell CD4
SRR10797207,Plasma cell
SRR10791951,Mesothelial
SRR10778907,Fibroblast adventitial
SRR10780485,Basal
SRR10780251,Smooth muscle cell
SRR10785160,Epithelial cell other C1
SRR10780339,Fibroblast adventitial
SRR10777576,Epithelial cell other C1
SRR10790220,Plasma cell
SRR10788135,T cell CD8
SRR10777597,T cell CD8
SRR10789180,Endothelial cell lymphatic
SRR10788517,B cell
SRR10790174,Basal
SRR10782001,Basal
SRR10794686,T cell CD4
SRR10791761,Alveolar cell type 2
SRR10777675,Smooth muscle cell
SRR10786981,Plasma cell
SRR10779963,T cell CD4
SRR10789493,T cell CD4
SRR10782342,T cell regulatory
SRR10795063,Pericyte
SRR10785719,Club
SRR10780217,Epithelial cell other C4
SRR10788333,B cell
SRR10798277,Macrophage
SRR10796904,other C17
SRR10784944,Epithelial cell other C1
SRR10780694,Basal
SRR10778433,other C17
SRR10780143,T cell CD8
SRR10778295,Macrophage
SRR10784822,Plasma cell
SRR10797099,Club
SRR10797188,Monocyte non-conventional
SRR10788941,Macrophage
SRR10795193,other C19
SRR10779837,Epithelial cell other C3
SRR10780356,pDC
SRR10787478,Basal
SRR10796338,Macrophage
SRR10788495,Endothelial cell
SRR10783200,pDC
SRR10784820,Macrophage
SRR10781409,T cell CD8
SRR10793339,Epithelial cell other C1
SRR10790456,NK cell
SRR10792974,Epithelial cell other C1
SRR10778321,Macrophage
SRR10780953,Club
SRR10791470,Macrophage
SRR10793031,Epithelial cell other C5
SRR10778651,Macrophage
SRR10785193,T cell CD8
SRR10791725,Epithelial cell other C2
SRR10795876,Fibroblast adventitial
SRR10785192,Epithelial cell other C1
SRR10789893,Monocyte conventional
SRR10780781,cDC1
SRR10777728,T cell CD4
SRR10786811,Endothelial cell
SRR10780238,Basal
SRR10787805,cDC2
SRR10786073,Monocyte conventional
SRR10795566,other C17
SRR10787986,Macrophage
SRR10788019,Endothelial cell
SRR10781717,Monocyte conventional
SRR10795071,Alveolar cell type 2
SRR10791124,Epithelial cell other C5
SRR10789285,Alveolar cell type 2
SRR10785278,other C17
SRR10779568,Smooth muscle cell
SRR10787875,Epithelial cell other C1
SRR10794515,Macrophage
SRR10787047,Smooth muscle cell
SRR10791018,Plasma cell
SRR10785912,Monocyte conventional
SRR10788865,Epithelial cell other C1
SRR10797260,Fibroblast alveolar
SRR10784028,Mast cell
SRR10782490,T cell CD8
SRR10782444,pDC
SRR10797198,Macrophage
SRR10793297,Endothelial cell
SRR10782420,T cell CD4
SRR10789731,DC Lagerhans
SRR10785891,Mast cell
SRR10789253,Fibroblast adventitial
SRR10778779,Basal
SRR10792201,T cell CD4
SRR10777376,T cell CD8
SRR10778361,other C21
SRR10790983,Macrophage
SRR10777620,Alveolar cell type 2
SRR10778363,T cell CD8
SRR10795857,Macrophage
SRR10788167,Basal
SRR10795547,Macrophage
SRR10785195,B cell
SRR10796393,Endothelial cell
SRR10785083,other C17
SRR10784366,T cell CD8
SRR10798381,other C21
SRR10792821,Monocyte non-conventional
SRR10781061,other C19
SRR10791499,T cell regulatory
SRR10784468,Basal
SRR10786656,Monocyte conventional
SRR10787322,T cell CD8
SRR10790142,DC Lagerhans
SRR10792075,T cell regulatory
SRR10791462,cDC2
SRR10783762,Epithelial cell other C1
SRR10784713,T cell CD8
SRR10782796,T cell CD8
SRR10782096,Endothelial cell
SRR10790835,T cell CD8
SRR10790463,Smooth muscle cell
SRR10788049,Epithelial cell other C1
SRR10789643,NK cell
SRR10782565,Alveolar cell type 2
SRR10786773,Fibroblast alveolar
SRR10792400,Epithelial cell other C1
SRR10797540,T cell regulatory
SRR10778558,Alveolar cell type 2
SRR10798477,B cell
SRR10785369,pDC
SRR10797234,T cell CD8
SRR10791996,Monocyte conventional
SRR10786262,T cell CD8
SRR10795589,NK cell
SRR10782495,T cell CD8
SRR10787701,B cell
SRR10795704,Mast cell
SRR10793899,T cell CD4
SRR10782168,cDC2
SRR10784482,Fibroblast adventitial
SRR10779232,B cell
SRR10794291,NK cell
SRR10780969,T cell CD8
SRR10779100,cDC1
SRR10790014,Macrophage
SRR10786562,Epithelial cell dividing
