Run,cell_type
SRR10794246,Myeloid cell
SRR10791395,B cell plasma
SRR10793215,Myeloid cell
SRR10796843,Epithelial cells
SRR10795973,B cell
SRR10797075,other
SRR10784430,other
SRR10790175,B cell
SRR10782278,T/NK cell
SRR10788943,T/NK cell
SRR10786381,T/NK cell
SRR10792977,Epithelial cells
SRR10781246,other
SRR10794865,Myeloid cell
SRR10797176,other
SRR10792134,Myeloid cell
SRR10785384,other
SRR10784303,T/NK cell
SRR10791454,Stromal
SRR10790389,Epithelial cells
SRR10787340,Stromal
SRR10780844,Epithelial cells
SRR10789640,Myeloid cell
SRR10791556,B cell
SRR10779122,B cell plasma
SRR10798410,other
SRR10791370,B cell plasma
SRR10786602,Stromal
SRR10778302,Myeloid cell
SRR10795628,B cell plasma
SRR10777220,T/NK cell
SRR10787419,other
SRR10795792,other
SRR10787859,other
SRR10786468,Epithelial cells
SRR10779399,Myeloid cell
SRR10779416,Myeloid cell
SRR10794935,T/NK cell
SRR10782962,other
SRR10790932,Epithelial cells
SRR10796664,Endothelial cell
SRR10792415,Mast cell
SRR10780768,other
SRR10787638,T/NK cell
SRR10794443,Stromal
SRR10795833,Mast cell
SRR10797049,Stromal
SRR10797513,Myeloid cell
SRR10789432,Epithelial cells
SRR10791068,Endothelial cell
SRR10798091,T/NK cell
SRR10779280,Myeloid cell
SRR10785904,Ciliated
SRR10780121,plasmacytoid dendritic cell
SRR10778207,Stromal
SRR10786836,other
SRR10779139,T/NK cell
SRR10783230,Epithelial cells
SRR10786269,B cell plasma
SRR10793163,Epithelial cells
SRR10796033,Myeloid cell
SRR10783117,B cell plasma
SRR10797465,Myeloid cell
SRR10788209,Stromal
SRR10792073,T/NK cell
SRR10790552,Myeloid cell
SRR10785339,T/NK cell
SRR10788134,T/NK cell
SRR10791410,Myeloid cell
SRR10782691,Endothelial cell
SRR10790004,B cell
SRR10788999,T/NK cell
SRR10797058,Myeloid cell
SRR10780283,Myeloid cell
SRR10786991,other
SRR10797386,T/NK cell
SRR10779721,Myeloid cell
SRR10783886,Stromal
SRR10784988,T/NK cell
SRR10790748,Myeloid cell
SRR10788932,Stromal
SRR10785521,Epithelial cells
SRR10792617,Myeloid cell
SRR10792901,Myeloid cell
SRR10788729,Myeloid cell
SRR10794306,T/NK cell
SRR10786784,Epithelial cells
SRR10792403,other
SRR10777926,other
SRR10793860,Myeloid cell
SRR10779512,Myeloid cell
SRR10781524,plasmacytoid dendritic cell
SRR10793597,Myeloid cell
SRR10790147,Myeloid cell
SRR10795838,Stromal
SRR10797532,Myeloid cell
SRR10790257,T/NK cell
SRR10793702,Endothelial cell
SRR10780042,Myeloid cell
SRR10783563,Stromal
SRR10786491,Epithelial cells
SRR10788332,Myeloid cell
SRR10787174,other
SRR10784953,B cell plasma
SRR10792871,Stromal
SRR10788010,Endothelial cell
SRR10788094,Myeloid cell
SRR10781092,other
SRR10781606,T/NK cell
SRR10787122,Myeloid cell
SRR10792803,Endothelial cell
SRR10783928,Epithelial cells
SRR10793739,Epithelial cells
SRR10784613,Myeloid cell
SRR10793823,T/NK cell
SRR10795367,other
SRR10794644,Stromal
SRR10785785,Myeloid cell
SRR10784809,Stromal
SRR10778557,Myeloid cell
SRR10796549,Myeloid cell
SRR10798174,T/NK cell
SRR10780718,Myeloid cell
SRR10784039,T/NK cell
SRR10791154,Endothelial cell
SRR10787786,T/NK cell
SRR10796529,T/NK cell
SRR10785547,Myeloid cell
SRR10789322,Epithelial cells
SRR10789324,Epithelial cells
SRR10796562,T/NK cell
SRR10782894,Myeloid cell
SRR10785132,Myeloid cell
SRR10797325,T/NK cell
SRR10778856,other
SRR10780960,T/NK cell
SRR10790217,Epithelial cells
SRR10780162,Epithelial cells
SRR10789739,Endothelial cell
SRR10794326,Myeloid cell
SRR10787674,other
SRR10789240,Endothelial cell
SRR10798391,Epithelial cells
SRR10778802,other
SRR10795750,T/NK cell
SRR10786088,Epithelial cells
SRR10787925,Myeloid cell
SRR10797329,Myeloid cell
SRR10796602,Myeloid cell
SRR10783912,B cell plasma
SRR10794283,Mast cell
SRR10780036,T/NK cell
SRR10788438,Stromal
SRR10780596,Myeloid cell
SRR10786095,Myeloid cell
SRR10798207,Stromal
SRR10788361,T/NK cell
SRR10793125,Stromal
SRR10780278,Epithelial cells
SRR10782182,Epithelial cells
SRR10797141,B cell plasma
SRR10792146,Epithelial cells
SRR10796476,T/NK cell
SRR10779666,T/NK cell
SRR10786365,Myeloid cell
SRR10777463,Myeloid cell
SRR10792002,B cell plasma
SRR10787170,Mast cell
SRR10780599,Myeloid cell
SRR10783337,Myeloid cell
SRR10778770,Myeloid cell
SRR10779584,Myeloid cell
SRR10786568,Stromal
SRR10794868,Myeloid cell
SRR10791921,B cell plasma
SRR10787473,Myeloid cell
SRR10782679,Myeloid cell
SRR10779902,Myeloid cell
SRR10798238,Stromal
SRR10778244,other
SRR10794312,Endothelial cell
SRR10779967,T/NK cell
SRR10777947,T/NK cell
SRR10789641,Stromal
SRR10777806,Stromal
SRR10778085,T/NK cell
SRR10796892,B cell
SRR10782851,B cell plasma
SRR10785486,Stromal
SRR10779647,Stromal
SRR10777340,Epithelial cells
SRR10782490,T/NK cell
SRR10793599,Myeloid cell
SRR10797299,B cell plasma
SRR10782826,Myeloid cell
SRR10783775,T/NK cell
SRR10784636,B cell plasma
SRR10784685,T/NK cell
SRR10792318,other
SRR10797021,Myeloid cell
SRR10796262,Myeloid cell
SRR10780394,Myeloid cell
SRR10793716,Epithelial cells
SRR10784517,Myeloid cell
SRR10786695,other
SRR10797232,Mast cell
SRR10788092,Mast cell
SRR10786277,Stromal
SRR10795209,T/NK cell
SRR10790371,Endothelial cell
SRR10783767,Myeloid cell
SRR10777791,T/NK cell
SRR10791702,Myeloid cell
SRR10785293,other
SRR10795987,other
SRR10787827,T/NK cell
SRR10794013,Myeloid cell
SRR10796268,Epithelial cells
SRR10780292,Myeloid cell
SRR10795205,T/NK cell
SRR10794832,Mast cell
SRR10789250,Stromal
SRR10789126,T/NK cell
SRR10785048,Epithelial cells
SRR10786762,other
SRR10777431,Stromal
SRR10796385,T/NK cell
SRR10796855,Epithelial cells
SRR10781773,Myeloid cell
SRR10787198,Myeloid cell
SRR10788675,B cell plasma
SRR10791037,Stromal
SRR10781273,Epithelial cells
SRR10788487,Endothelial cell
SRR10777240,Myeloid cell
SRR10780909,Myeloid cell
SRR10785683,T/NK cell
SRR10792431,T/NK cell
SRR10794503,Epithelial cells
SRR10797770,T/NK cell
SRR10792453,Myeloid cell
SRR10779707,T/NK cell
SRR10787062,other
SRR10788634,B cell
SRR10784019,Stromal
SRR10791455,Epithelial cells
SRR10780010,T/NK cell
SRR10780378,B cell plasma
SRR10779289,T/NK cell
SRR10780315,Stromal
SRR10782775,Myeloid cell
SRR10789437,B cell plasma
SRR10789207,B cell
SRR10794652,other
SRR10789768,plasmacytoid dendritic cell
SRR10787118,other
SRR10797273,Myeloid cell
SRR10792523,Mast cell
SRR10782996,Myeloid cell
SRR10792637,other
SRR10786818,Stromal
SRR10780914,Epithelial cells
SRR10786018,Stromal
SRR10791004,T/NK cell
SRR10788450,Myeloid cell
SRR10795818,Endothelial cell
SRR10782265,other
SRR10789779,T/NK cell
SRR10778651,Myeloid cell
SRR10779128,Myeloid cell
SRR10781253,Myeloid cell
SRR10796011,other
SRR10780398,Epithelial cells
SRR10788506,Epithelial cells
SRR10778834,Endothelial cell
SRR10781483,B cell plasma
SRR10780268,Stromal
SRR10779577,Stromal
SRR10794033,Endothelial cell
SRR10786513,Epithelial cells
SRR10786577,Mast cell
SRR10789352,Myeloid cell
SRR10794203,T/NK cell
SRR10786207,Myeloid cell
SRR10786999,B cell
SRR10790962,Stromal
SRR10795067,Ciliated
SRR10781445,Myeloid cell
SRR10793321,Epithelial cells
SRR10780061,other
SRR10797223,T/NK cell
SRR10788822,Stromal
SRR10778426,other
SRR10783364,Epithelial cells
SRR10788772,T/NK cell
SRR10798252,Stromal
SRR10798597,T/NK cell
SRR10781232,Myeloid cell
SRR10793935,Epithelial cells
SRR10796509,Myeloid cell
SRR10791865,T/NK cell
SRR10780685,Stromal
SRR10797508,Epithelial cells
SRR10790591,other
SRR10783129,Epithelial cells
SRR10782301,Mast cell
SRR10798034,Myeloid cell
SRR10793134,B cell
SRR10791609,T/NK cell
SRR10798113,Epithelial cells
SRR10793586,Mast cell
SRR10784691,Epithelial cells
SRR10777570,Epithelial cells
SRR10781376,Myeloid cell
SRR10791769,T/NK cell
SRR10791535,Myeloid cell
SRR10797262,Stromal
SRR10797892,B cell plasma
SRR10786599,B cell plasma
SRR10794394,Myeloid cell
SRR10783461,T/NK cell
SRR10778596,Mast cell
SRR10794806,Mast cell
SRR10780049,T/NK cell
SRR10782061,other
SRR10788217,Epithelial cells
SRR10796310,Stromal
SRR10782164,Epithelial cells
SRR10794232,Myeloid cell
SRR10793120,T/NK cell
SRR10795579,Myeloid cell
SRR10797966,Stromal
SRR10786303,T/NK cell
SRR10783175,B cell plasma
SRR10783510,other
SRR10780386,Stromal
SRR10797287,Myeloid cell
SRR10779161,Epithelial cells
SRR10777255,B cell
SRR10790046,T/NK cell
SRR10777723,T/NK cell
SRR10784873,other
SRR10782350,T/NK cell
SRR10782158,Myeloid cell
SRR10783733,Stromal
SRR10781899,Myeloid cell
SRR10782828,Myeloid cell
SRR10780122,Epithelial cells
SRR10780824,Myeloid cell
SRR10793258,T/NK cell
SRR10783446,Myeloid cell
SRR10787879,other
SRR10789243,Mast cell
SRR10797246,Myeloid cell
SRR10788391,Epithelial cells
SRR10785600,B cell plasma
SRR10790610,T/NK cell
SRR10790272,Stromal
SRR10785109,Stromal
SRR10786063,T/NK cell
SRR10777683,Myeloid cell
SRR10779266,Myeloid cell
SRR10786320,Endothelial cell
SRR10779302,Myeloid cell
SRR10785846,Myeloid cell
SRR10787423,plasmacytoid dendritic cell
SRR10778119,plasmacytoid dendritic cell
SRR10793340,other
SRR10788995,T/NK cell
SRR10784880,Myeloid cell
SRR10795812,T/NK cell
SRR10790022,Stromal
SRR10780243,T/NK cell
SRR10780921,Myeloid cell
SRR10786742,Mast cell
SRR10787770,Myeloid cell
SRR10790860,Epithelial cells
SRR10784424,Myeloid cell
SRR10795015,Myeloid cell
SRR10797622,Epithelial cells
SRR10785369,plasmacytoid dendritic cell
SRR10791858,Myeloid cell
SRR10791405,Myeloid cell
SRR10786135,T/NK cell
SRR10783988,Myeloid cell
SRR10788289,Endothelial cell
SRR10786763,Stromal
SRR10796917,Stromal
SRR10791540,Myeloid cell
SRR10798470,Myeloid cell
SRR10779947,T/NK cell
SRR10786176,Myeloid cell
SRR10794553,Stromal
SRR10778686,Myeloid cell
SRR10796434,T/NK cell
SRR10781949,Myeloid cell
SRR10794325,Myeloid cell
SRR10777227,T/NK cell
SRR10790873,T/NK cell
SRR10786119,T/NK cell
SRR10780814,Endothelial cell
SRR10780500,Stromal
SRR10788877,Myeloid cell
SRR10787322,T/NK cell
SRR10782362,Myeloid cell
SRR10781959,Myeloid cell
SRR10785760,T/NK cell
SRR10786795,Myeloid cell
SRR10787489,Epithelial cells
SRR10787229,Myeloid cell
SRR10793212,T/NK cell
SRR10793310,T/NK cell
SRR10777727,Mast cell
SRR10780443,Myeloid cell
SRR10779889,Epithelial cells
SRR10789861,B cell plasma
SRR10788713,T/NK cell
SRR10793374,Epithelial cells
SRR10784633,T/NK cell
SRR10787133,other
SRR10785165,other
SRR10785874,Myeloid cell
SRR10783472,Epithelial cells
SRR10791139,Myeloid cell
SRR10793795,Myeloid cell
SRR10777324,Epithelial cells
SRR10796939,T/NK cell
SRR10790139,Myeloid cell
SRR10785425,Stromal
SRR10793574,Mast cell
SRR10793867,B cell plasma
SRR10779560,T/NK cell
SRR10795609,B cell plasma
SRR10787725,T/NK cell
SRR10796326,Epithelial cells
SRR10791344,Myeloid cell
SRR10782067,Myeloid cell
SRR10781366,Epithelial cells
SRR10785138,B cell
SRR10794418,other
SRR10780432,Stromal
SRR10781093,other
SRR10797415,Stromal
SRR10783036,T/NK cell
SRR10777291,Mast cell
SRR10780866,Stromal
SRR10779298,Myeloid cell
SRR10786096,Stromal
SRR10787915,Stromal
SRR10786060,other
SRR10787299,Epithelial cells
SRR10784808,Myeloid cell
SRR10795819,Myeloid cell
SRR10785206,B cell plasma
SRR10793089,other
SRR10781541,Stromal
SRR10789414,Myeloid cell
SRR10786749,B cell plasma
SRR10783118,B cell plasma
SRR10791443,Myeloid cell
SRR10791830,Myeloid cell
SRR10784087,Epithelial cells
SRR10783691,Epithelial cells
SRR10797619,Stromal
SRR10778644,Stromal
SRR10785418,Ciliated
SRR10788762,T/NK cell
SRR10781867,Myeloid cell
SRR10783340,Mast cell
SRR10793642,Myeloid cell
SRR10780679,Myeloid cell
SRR10778666,Stromal
SRR10779759,Myeloid cell
SRR10781251,Myeloid cell
SRR10783761,T/NK cell
SRR10783513,other
SRR10792830,B cell plasma
SRR10785188,Myeloid cell
SRR10778653,other
SRR10789690,Stromal
SRR10793670,T/NK cell
SRR10781917,B cell plasma
SRR10791341,T/NK cell
SRR10792329,Myeloid cell
SRR10798478,Epithelial cells
SRR10784105,T/NK cell
SRR10785469,Endothelial cell
SRR10783987,Myeloid cell
