,gene_symbol,gene_id
0,A1BG,ENSG00000121410.12
1,A1BG-AS1,ENSG00000268895.6
2,A2M,ENSG00000175899.15
3,A2M-AS1,ENSG00000245105.4
4,A2ML1,ENSG00000166535.20
5,A4GALT,ENSG00000128274.17
6,A4GNT,ENSG00000118017.4
7,AAAS,ENSG00000094914.14
8,AACS,ENSG00000081760.17
9,AADAC,ENSG00000114771.14
10,AADACL2,ENSG00000197953.6
11,AADAT,ENSG00000109576.14
12,AAGAB,ENSG00000103591.13
13,AAK1,ENSG00000115977.21
14,AAMDC,ENSG00000087884.14
15,AAMP,ENSG00000127837.10
16,AANAT,ENSG00000129673.10
17,AAR2,ENSG00000131043.13
18,AARD,ENSG00000205002.4
19,AARS1,ENSG00000090861.17
20,AARS2,ENSG00000124608.5
21,AARSD1,ENSG00000266967.7
22,AASDH,ENSG00000157426.14
23,AASDHPPT,ENSG00000149313.11
24,AASS,ENSG00000008311.16
25,AATBC,ENSG00000215458.8
26,AATF,ENSG00000275700.6
27,AATK,ENSG00000181409.14
28,ABALON,ENSG00000281376.1
29,ABAT,ENSG00000183044.12
30,ABCA1,ENSG00000165029.17
31,ABCA10,ENSG00000154263.17
32,ABCA12,ENSG00000144452.15
33,ABCA13,ENSG00000179869.15
34,ABCA2,ENSG00000107331.17
35,ABCA3,ENSG00000167972.14
36,ABCA4,ENSG00000198691.13
37,ABCA5,ENSG00000154265.16
38,ABCA6,ENSG00000154262.13
39,ABCA7,ENSG00000064687.13
40,ABCA8,ENSG00000141338.14
41,ABCA9,ENSG00000154258.17
42,ABCB1,ENSG00000085563.15
43,ABCB10,ENSG00000135776.5
44,ABCB4,ENSG00000005471.19
45,ABCB5,ENSG00000004846.17
46,ABCB6,ENSG00000115657.14
47,ABCB7,ENSG00000131269.19
48,ABCB8,ENSG00000197150.13
49,ABCB9,ENSG00000150967.18
50,ABCC1,ENSG00000103222.20
51,ABCC10,ENSG00000124574.15
52,ABCC11,ENSG00000121270.16
53,ABCC2,ENSG00000023839.12
54,ABCC3,ENSG00000108846.16
55,ABCC4,ENSG00000125257.16
56,ABCC5,ENSG00000114770.17
57,ABCC6,ENSG00000091262.17
58,ABCC8,ENSG00000006071.16
59,ABCC9,ENSG00000069431.13
60,ABCD1,ENSG00000101986.12
61,ABCD2,ENSG00000173208.4
62,ABCD3,ENSG00000117528.14
63,ABCD4,ENSG00000119688.21
64,ABCE1,ENSG00000164163.11
65,ABCF1,ENSG00000204574.14
66,ABCF2,ENSG00000033050.9
67,ABCF3,ENSG00000161204.11
68,ABCG1,ENSG00000160179.19
69,ABCG2,ENSG00000118777.12
70,ABCG4,ENSG00000172350.10
71,ABHD1,ENSG00000143994.14
72,ABHD10,ENSG00000144827.9
73,ABHD11,ENSG00000106077.19
74,ABHD12,ENSG00000100997.20
75,ABHD12B,ENSG00000131969.15
76,ABHD13,ENSG00000139826.6
77,ABHD14A,ENSG00000248487.9
78,ABHD14B,ENSG00000114779.20
79,ABHD15,ENSG00000168792.5
80,ABHD16A,ENSG00000204427.12
81,ABHD17A,ENSG00000129968.17
82,ABHD17B,ENSG00000107362.14
83,ABHD17C,ENSG00000136379.12
84,ABHD18,ENSG00000164074.16
85,ABHD2,ENSG00000140526.18
86,ABHD3,ENSG00000158201.10
87,ABHD4,ENSG00000100439.10
88,ABHD5,ENSG00000011198.10
89,ABHD6,ENSG00000163686.15
90,ABHD8,ENSG00000127220.6
91,ABI1,ENSG00000136754.18
92,ABI2,ENSG00000138443.17
93,ABI3,ENSG00000108798.9
94,ABI3BP,ENSG00000154175.18
95,ABITRAM,ENSG00000119328.12
96,ABL1,ENSG00000097007.19
97,ABL2,ENSG00000143322.21
98,ABLIM1,ENSG00000099204.20
99,ABLIM2,ENSG00000163995.21
100,ABLIM3,ENSG00000173210.20
101,ABO,ENSG00000175164.16
102,ABR,ENSG00000159842.16
103,ABRACL,ENSG00000146386.8
104,ABRAXAS1,ENSG00000163322.14
105,ABRAXAS2,ENSG00000165660.8
106,ABT1,ENSG00000146109.5
107,ABTB1,ENSG00000114626.18
108,ABTB2,ENSG00000166016.6
109,AC002480.2,
110,AC004988.1,
111,AC005224.2,
112,AC005480.1,
113,AC005498.3,
114,AC005523.2,ENSG00000269604.1
115,AC006449.2,
116,AC006994.2,ENSG00000279317.2
117,AC007319.1,ENSG00000224063.6
118,AC007383.3,ENSG00000227946.1
119,AC007620.3,ENSG00000242539.2
120,AC007743.1,ENSG00000233251.8
121,AC007879.2,ENSG00000234902.6
122,AC007950.2,ENSG00000276651.1
123,AC008268.1,ENSG00000235584.3
124,AC008522.1,
125,AC009065.4,
126,AC009228.1,ENSG00000242628.6
127,AC009299.3,
128,AC009403.2,ENSG00000216895.9
129,AC009495.3,ENSG00000232411.1
130,AC009506.1,ENSG00000224152.1
131,AC010894.3,ENSG00000226853.3
132,AC010976.2,ENSG00000231731.7
133,AC011997.1,ENSG00000222017.1
134,AC012368.1,ENSG00000228079.2
135,AC015987.1,ENSG00000224746.2
136,AC017002.1,
137,AC022182.1,ENSG00000254777.5
138,AC023481.1,ENSG00000231401.2
139,AC023590.1,ENSG00000225885.7
140,AC025171.1,ENSG00000215068.8
141,AC034243.1,ENSG00000253404.1
142,AC058791.1,ENSG00000226380.9
143,AC062029.1,
144,AC073254.1,ENSG00000237126.8
145,AC073257.2,ENSG00000237614.3
146,AC083843.1,ENSG00000259820.1
147,AC083843.2,ENSG00000254028.1
148,AC092171.4,ENSG00000230733.2
149,AC092484.1,ENSG00000225107.1
150,AC093382.1,ENSG00000226276.1
151,AC093802.1,ENSG00000220256.4
152,AC099850.1,ENSG00000224738.1
153,AC100830.3,ENSG00000259635.1
154,AC104024.1,ENSG00000230709.1
155,AC104653.1,ENSG00000228857.2
156,AC110615.1,
157,AC112721.2,ENSG00000222032.1
158,AC113404.1,
159,AC123023.1,ENSG00000236452.1
160,AC133644.2,
161,AC140912.1,ENSG00000261227.2
162,AC144652.1,
163,AC144831.1,ENSG00000261888.1
164,AC226118.1,ENSG00000249574.1
165,ACAA1,ENSG00000060971.19
166,ACAA2,ENSG00000167315.18
167,ACACA,ENSG00000278540.5
168,ACACB,ENSG00000076555.15
169,ACAD10,ENSG00000111271.15
