# Exported from gene cards searching for "growth factor" in "summary" on 2022-01-14
Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"EGF","Epidermal Growth Factor","Protein Coding","48","GC04P109912","2.73272132873535","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGF"
"AREG","Amphiregulin","Protein Coding","40","GC04P074445","2.73272132873535","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AREG"
"PDGFRA","Platelet Derived Growth Factor Receptor Alpha","Protein Coding","51","GC04P054229","2.44422054290771","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDGFRA"
"MET","MET Proto-Oncogene, Receptor Tyrosine Kinase","Protein Coding","51","GC07P116672","2.44422054290771","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MET"
"VEGFC","Vascular Endothelial Growth Factor C","Protein Coding","44","GC04M176683","2.44422054290771","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VEGFC"
"SPRY2","Sprouty RTK Signaling Antagonist 2","Protein Coding","44","GC13M080335","2.44422054290771","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPRY2"
"IGF2R","Insulin Like Growth Factor 2 Receptor","Protein Coding","43","GC06P159969","2.44422054290771","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF2R"
"TGFA","Transforming Growth Factor Alpha","Protein Coding","43","GC02M070447","2.44422054290771","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFA"
"BTC","Betacellulin","Protein Coding","42","GC04M074744","2.44422054290771","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BTC"
"FGF19","Fibroblast Growth Factor 19","Protein Coding","42","GC11M080200","2.44422054290771","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF19"
"IGFBP3","Insulin Like Growth Factor Binding Protein 3","Protein Coding","42","GC07M045912","2.44422054290771","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGFBP3"
"PDGFD","Platelet Derived Growth Factor D","Protein Coding","42","GC11M103907","2.44422054290771","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDGFD"
"VEGFB","Vascular Endothelial Growth Factor B","Protein Coding","42","GC11P064234","2.44422054290771","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VEGFB"
"FGF3","Fibroblast Growth Factor 3","Protein Coding","41","GC11M080205","2.44422054290771","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF3"
"PDGFA","Platelet Derived Growth Factor Subunit A","Protein Coding","41","GC07M000497","2.44422054290771","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDGFA"
"FGF4","Fibroblast Growth Factor 4","Protein Coding","40","GC11M080204","2.44422054290771","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF4"
"PDGFC","Platelet Derived Growth Factor C","Protein Coding","40","GC04M156760","2.44422054290771","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDGFC"
"EREG","Epiregulin","Protein Coding","39","GC04P074366","2.44422054290771","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EREG"
"FGF18","Fibroblast Growth Factor 18","Protein Coding","39","GC05P171419","2.44422054290771","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF18"
"SCUBE3","Signal Peptide, CUB Domain And EGF Like Domain Containing 3","Protein Coding","37","GC06P070266","2.44422054290771","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCUBE3"
"SNX6","Sorting Nexin 6","Protein Coding","35","GC14M034561","2.44422054290771","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNX6"
"EPGN","Epithelial Mitogen","Protein Coding","32","GC04P074309","2.44422054290771","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPGN"
"IGF1R","Insulin Like Growth Factor 1 Receptor","Protein Coding","52","GC15P098648","2.11675691604614","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF1R"
"EGFR","Epidermal Growth Factor Receptor","Protein Coding","51","GC07P055019","2.11675691604614","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGFR"
"PDGFRB","Platelet Derived Growth Factor Receptor Beta","Protein Coding","51","GC05M150113","2.11675691604614","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDGFRB"
"HGF","Hepatocyte Growth Factor","Protein Coding","49","GC07M081699","2.11675691604614","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HGF"
"COL1A1","Collagen Type I Alpha 1 Chain","Protein Coding","48","GC17M050183","2.11675691604614","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL1A1"
"FLT1","Fms Related Receptor Tyrosine Kinase 1","Protein Coding","48","GC13M028300","2.11675691604614","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLT1"
