gene_id	gene_name	chromosome	start	end	mean_cn.id	gene_biotype	mean_cn.if	p.val	p.adj
ENSG00000000419	DPM1	chr20	50934867	50958555	0.16534370392097233	protein_coding	0.06525334945715275	3.12649692046142e-14	2.3994652766211063e-13
ENSG00000001084	GCLC	chr6	53497341	53616970	0.10366969873693908	protein_coding	0.055081816284506105	1.36682278234958e-05	4.523370856029953e-5
ENSG00000001617	SEMA3F	chr3	50155045	50189075	-0.2817921027944803	protein_coding	-0.13461152673526014	5.34441789823125e-39	1.3765082738684407e-36
ENSG00000001629	ANKIB1	chr7	92245974	92401383	0.17608500386820133	protein_coding	0.11685659220838705	3.3552803992283e-06	1.1890286456043491e-5
ENSG00000001630	CYP51A1	chr7	92112153	92134803	0.1753197064989518	protein_coding	0.11314564796905223	1.99829739768262e-06	7.270881678477146e-6
ENSG00000001631	KRIT1	chr7	92198969	92246166	0.17580004449659378	protein_coding	0.11555070756067953	1.92948439356506e-06	7.040394792311346e-6
ENSG00000002016	RAD52	chr12	911736	990053	0.14857607785796925	protein_coding	0.05567345337888528	2.63378378993363e-11	1.6518442035762315e-10
ENSG00000002549	LAP3	chr4	17577192	17607972	-0.1451361243697568	protein_coding	-0.045112681279015805	4.65158697507588e-11	2.8634386742364816e-10
ENSG00000002587	HS3ST1	chr4	11393150	11429564	-0.13576439210325902	protein_coding	-0.052174557212870835	2.69985718159438e-09	1.3497189745563829e-8
ENSG00000003056	M6PR	chr12	8940361	8949761	0.14084025157232705	protein_coding	0.037706704698479546	6.782189630587e-14	5.066185502476762e-13
ENSG00000003137	CYP26B1	chr2	72129238	72148038	0.14614633123689727	protein_coding	0.07569922630560928	3.06863972164528e-12	2.036307574820401e-11
ENSG00000003509	NDUFAF7	chr2	37231631	37253403	0.1534865828092243	protein_coding	0.07017675985484485	7.02378519973678e-17	7.255532550979431e-16
ENSG00000003756	RBM5	chr3	50088919	50119021	-0.28068041224617035	protein_coding	-0.13495160795195524	2.62263715246968e-38	3.6711218749461455e-36
ENSG00000003987	MTMR7	chr8	17296794	17413528	-0.22636812209686918	protein_coding	-0.14533550762752803	9.71430124448067e-07	3.630318381498029e-6
ENSG00000003989	SLC7A2	chr8	17497088	17570573	-0.22640580541773359	protein_coding	-0.14590831721470018	1.12208457157623e-06	4.17877533625179e-6
ENSG00000004399	PLXND1	chr3	129555214	129606676	0.23242348074218885	protein_coding	0.05480949603569277	6.07415412156837e-26	1.2299207040496455e-24
ENSG00000004468	CD38	chr4	15778275	15853232	-0.13685333281930187	protein_coding	-0.044973448098812666	5.94792576036527e-10	3.2484049169628472e-9
ENSG00000004478	FKBP4	chr12	2794970	2805423	0.15707672955974844	protein_coding	0.05202765957446809	4.25781024756122e-13	2.960695484238304e-12
